ABMI.Site,day,month,year,Days.Since.Snow,Snow.Conditions,Temperature..Degrees.Celsius.,mean.snow.depth
293,25,Jan,2012,4,Powder,-15,25.666666666666668
293,25,Jan,2012,4,Powder,-15,31
297,7,Feb,2014,5,Powder,-22,40.666666666666664
297,7,Feb,2014,5,Powder,-22,40.666666666666664
298,6,Feb,2014,4,Powder,-20,37.833333333333336
298,6,Feb,2014,4,Powder,-20,37.833333333333336
299,6,Feb,2014,4,Powder,-19,36.333333333333336
299,6,Feb,2014,4,Powder,-19,36.333333333333336
300,16,Mar,2013,4,Powder,-22,59
301,16,Mar,2013,4,Powder,-20,65.83333333333333
301,16,Mar,2013,4,Powder,-20,65.83333333333333
302,17,Mar,2013,3,Powder,-20,73.33333333333333
302,17,Mar,2013,3,Powder,-20,73.33333333333333
314,25,Jan,2009,2,Powder,-18,55.833333333333336
315,12,Mar,2014,3,Powder,-6,45.166666666666664
316,27,Jan,2009,5,Powder,-15,50.166666666666664
316,27,Jan,2009,5,Powder,-15,50.166666666666664
323,21,Jan,2013,3,Powder,-22,72.66666666666667
323,21,Jan,2013,3,Powder,-22,72.66666666666667
324,22,Jan,2013,4,Powder,-25,77.5
324,22,Jan,2013,4,Powder,-25,77.5
325,3,Mar,2013,4,Powder,-6,65.66666666666667
329,24,Feb,2008,5,Powder,-5,57.833333333333336
330,23,Feb,2008,4,Crust,-3,45.666666666666664
331,23,Feb,2008,4,Powder,-5,58.333333333333336
332,24,Mar,2012,4,Powder,-8,47.5
343,25,Jan,2009,2,Powder,-20,59.833333333333336
344,22,Mar,2014,3,Powder,-10,17.166666666666668
345,28,Jan,2009,6,Powder,-15,58.666666666666664
352,1,Feb,2011,5,Powder,-12,46.333333333333336
353,2,Feb,2011,6,Powder,-10,59.333333333333336
354,4,Mar,2013,5,Powder,-7,58
358,23,Feb,2008,4,Powder,0,49
359,24,Feb,2008,5,Powder,-5,52.166666666666664
360,22,Feb,2008,3,Powder,-16,53
361,25,Mar,2012,5,Powder,-5,56.166666666666664
362,18,Mar,2013,3,Powder,-15,70.33333333333333
362,18,Mar,2013,3,Powder,-15,70.33333333333333
373,12,Mar,2014,3,Wet,3,48.833333333333336
374,12,Mar,2014,3,Powder,3,58.833333333333336
374,12,Mar,2014,3,Powder,3,58.833333333333336
374,12,Mar,2014,3,Powder,3,58.833333333333336
375,26,Jan,2009,4,Powder,-15,56.166666666666664
382,1,Feb,2011,5,Powder,-10,46.5
383,2,Feb,2011,6,Powder,-5,44.666666666666664
384,3,Mar,2013,4,Powder,-3,71.66666666666667
388,24,Feb,2008,5,Powder,-5,55
389,22,Feb,2008,3,Powder,1,54.666666666666664
390,22,Feb,2008,3,Powder,0,54.666666666666664
391,26,Mar,2012,6,Crust,0,36.5
392,18,Mar,2013,3,Powder,-16,73.66666666666667
392,18,Mar,2013,3,Powder,-16,73.66666666666667
397,24,Mar,2013,3,Powder,-1,84.66666666666667
397,24,Mar,2013,3,Powder,-1,84.66666666666667
398,9,Feb,2013,5,Powder,-10,84
399,9,Feb,2013,5,Powder,-1,43.5
407,27,Mar,2014,6,Powder,-8,45.333333333333336
408,24,Mar,2014,3,Powder,-20,48.333333333333336
412,25,Feb,2009,3,Powder,-30,64.33333333333333
412,25,Feb,2009,3,Powder,-30,64.33333333333333
413,25,Feb,2009,3,Powder,-32,57.666666666666664
413,25,Feb,2009,3,Powder,-32,57.666666666666664
414,26,Feb,2009,4,Powder,-26,57.833333333333336
414,26,Feb,2009,4,Powder,-26,57.833333333333336
415,20,Jan,2012,5,Crust,-24,27.5
416,20,Jan,2012,5,Powder,-25,22.833333333333332
417,5,Jan,2013,3,Powder,-10,41.5
418,24,Mar,2014,4,Powder,-15,29.833333333333332
419,25,Mar,2014,5,Powder,-18,28.833333333333332
421,23,Jan,2013,4,Powder,-25,59.833333333333336
422,23,Jan,2013,4,Powder,-30,59.666666666666664
422,23,Jan,2013,4,Powder,-30,59.666666666666664
427,24,Mar,2013,3,Powder,-10,84.16666666666667
427,24,Mar,2013,3,Powder,-10,84.16666666666667
428,25,Mar,2013,4,Crust,-6,76.16666666666667
429,11,Feb,2013,3,Powder,-1,85.66666666666667
436,1,Mar,2014,6,Powder,-39,47.333333333333336
437,25,Mar,2014,4,Powder,-18,50.166666666666664
438,23,Mar,2014,3,Powder,-10,37
442,28,Feb,2009,6,Powder,-22,60
442,28,Feb,2009,6,Powder,-22,60
444,26,Feb,2009,4,Powder,-14,59.5
444,26,Feb,2009,4,Powder,-14,59.5
445,19,Jan,2012,4,Powder,-22,38.333333333333336
446,19,Jan,2012,4,Powder,-24,18.333333333333332
447,7,Dec,2012,3,Powder,-18,37.166666666666664
448,25,Mar,2014,5,Crust,-16,14.833333333333334
451,22,Jan,2013,3,Powder,-21,59.833333333333336
451,22,Jan,2013,3,Powder,-21,59.833333333333336
452,22,Jan,2013,3,Powder,-10,45
457,8,Feb,2013,4,Powder,-10,73.5
458,25,Mar,2013,4,Crust,2,73.33333333333333
459,26,Mar,2013,5,Powder,-8,70.83333333333333
466,24,Mar,2014,4,Powder,-5,34.666666666666664
467,28,Feb,2014,5,Powder,-34,45
468,28,Feb,2014,5,Powder,-26,46
472,28,Feb,2009,6,Powder,-30,57.5
473,27,Feb,2009,5,Crust,-30,56.333333333333336
473,27,Feb,2009,5,Crust,-30,56.333333333333336
474,27,Feb,2009,5,Powder,-23,58
474,27,Feb,2009,5,Powder,-23,58
475,18,Jan,2012,3,Powder,-29,28.333333333333332
476,18,Jan,2012,3,Powder,-27,21.166666666666668
477,4,Jan,2013,4,Powder,-10,39.5
478,24,Mar,2014,4,Powder,-16,36.166666666666664
481,21,Jan,2012,6,Powder,-26,29.666666666666668
482,21,Jan,2012,6,Powder,-25,22.166666666666668
483,23,Mar,2012,3,Powder,-10,53.166666666666664
484,12,Feb,2009,3,Powder,-27,54.166666666666664
491,7,Feb,2013,3,Powder,-10,43.333333333333336
492,7,Feb,2013,3,Powder,-10,58.5
493,10,Feb,2013,6,Powder,-8,55.5
497,19,Feb,2011,4,Powder,-17,44
498,11,Jan,2011,3,Powder,-20,52.5
499,11,Jan,2011,3,Powder,-21,41.833333333333336
506,6,Feb,2010,3,Powder,-8,22.666666666666668
507,6,Feb,2010,3,Powder,-8,40.666666666666664
508,6,Feb,2010,4,Powder,-8,10.5
512,5,Mar,2008,3,Powder,-11,83.33333333333333
513,26,Jan,2009,5,Crust,-26,19.833333333333332
513,26,Jan,2009,5,Crust,-26,19.833333333333332
515,12,Feb,2009,3,Powder,-27,49.166666666666664
522,7,Feb,2013,3,Powder,-11,77.33333333333333
523,7,Feb,2013,3,Powder,-10,60.833333333333336
524,10,Feb,2013,6,Powder,0,80.16666666666667
528,6,Mar,2011,4,Powder,-25,55.5
529,20,Feb,2011,5,Powder,-16,55.333333333333336
530,6,Mar,2011,3,Powder,-25,62.666666666666664
537,6,Feb,2010,3,Powder,-8,44.166666666666664
538,5,Jan,2013,4,Powder,-8,48.833333333333336
544,7,Feb,2010,3,Powder,0,34.5
545,6,Mar,2008,4,Powder,-25,108.33333333333333
553,8,Feb,2013,4,Powder,-8,28.833333333333332
554,8,Feb,2013,4,Powder,-12,41.666666666666664
555,10,Feb,2013,6,Powder,-1,68.16666666666667
559,7,Mar,2011,5,Powder,-20,30
560,5,Mar,2011,3,Powder,-20,53.666666666666664
561,12,Jan,2011,4,Powder,-24,40.833333333333336
568,31,Jan,2013,3,Powder,-21,70.66666666666667
569,10,Feb,2010,5,Powder,-3,33.666666666666664
570,7,Feb,2010,4,Powder,-7,19.833333333333332
574,10,Feb,2010,4,Powder,-2,21.5
575,7,Mar,2008,5,Powder,10,57.166666666666664
576,8,Feb,2010,3,Powder,-16,37.333333333333336
580,17,Dec,2012,3,Powder,-17,47.333333333333336
584,16,Jan,2009,3,Powder,-5,61.333333333333336
585,19,Jan,2009,6,Wet,5,58.5
586,25,Jan,2009,3,Powder,-29,50.5
595,26,Feb,2014,5,Powder,-4,45
599,12,Mar,2009,5,Wet,-4,56.666666666666664
599,12,Mar,2009,5,Wet,-4,56.666666666666664
600,7,Feb,2010,3,Powder,-10,43.333333333333336
601,9,Feb,2010,3,Powder,-8,29
602,27,Jan,2013,3,Powder,-9,47.666666666666664
603,28,Mar,2013,6,Crust,-4,89.83333333333333
603,28,Mar,2013,6,Crust,-4,89.83333333333333
604,27,Jan,2013,3,Powder,-15,83.83333333333333
605,24,Feb,2013,4,Powder,1,67.16666666666667
606,25,Jan,2014,5,Crust,1,41.166666666666664
607,24,Jan,2014,4,Crust,1,41
608,27,Mar,2013,5,Wet,-3,91.5
608,27,Mar,2013,5,Wet,-3,91.5
610,24,Feb,2014,4,Powder,-10,67.5
611,17,Dec,2012,3,Powder,-15,46.666666666666664
612,17,Dec,2012,3,Powder,-14,38.666666666666664
616,17,Jan,2009,4,Powder,-8,60
617,19,Jan,2009,6,Crust,-8,49.166666666666664
618,26,Jan,2009,4,Powder,-22,60.166666666666664
625,26,Feb,2014,5,Powder,-22,51.333333333333336
626,26,Feb,2014,5,Powder,-14,56.166666666666664
627,26,Feb,2014,5,Powder,-4,59
631,12,Mar,2009,5,Powder,-15,76.5
632,19,Mar,2009,3,Powder,-10,72
633,19,Mar,2009,3,Powder,-4,72.83333333333333
634,26,Mar,2013,3,Powder,-5,96.83333333333333
635,25,Feb,2013,5,Powder,-5,66.16666666666667
635,25,Feb,2013,5,Powder,-5,66.16666666666667
636,23,Feb,2013,3,Powder,-5,76.33333333333333
637,24,Feb,2013,4,Powder,-5,67.5
638,25,Jan,2014,5,Wet,6,42.333333333333336
639,24,Jan,2014,4,Wet,6,38.666666666666664
640,19,Mar,2013,4,Powder,-10,72.33333333333333
640,19,Mar,2013,4,Powder,-10,72.33333333333333
642,14,Dec,2012,3,Powder,-12,51.833333333333336
643,17,Dec,2012,3,Powder,-21,54.5
644,17,Dec,2012,3,Powder,-21,47.5
648,18,Jan,2009,5,Wet,5,42.5
649,18,Jan,2009,5,Wet,5,59.5
650,26,Jan,2009,4,Powder,-28,43.666666666666664
659,27,Feb,2014,6,Powder,-25,54.666666666666664
663,8,Feb,2010,4,Powder,-12,47.666666666666664
664,20,Mar,2009,4,Powder,-2,72
665,20,Mar,2009,4,Wet,2,66.83333333333333
666,26,Mar,2013,4,Powder,-5,83
667,25,Feb,2013,5,Powder,-5,71.66666666666667
667,25,Feb,2013,5,Powder,-5,71.66666666666667
668,23,Feb,2013,3,Powder,0,72.5
669,23,Feb,2013,3,Powder,-1,65.66666666666667
672,19,Mar,2013,4,Powder,-12,72.33333333333333
672,19,Mar,2013,4,Powder,-12,72.33333333333333
673,25,Feb,2014,5,Crust,-15,63.833333333333336
674,15,Dec,2012,4,Powder,-13,38.666666666666664
675,16,Dec,2012,5,Powder,-19,50
688,7,Feb,2009,5,Powder,-8,51.5
689,8,Feb,2009,6,Crust,3,43
690,8,Feb,2009,6,Wet,-1,51
691,28,Feb,2014,6,Powder,-28,60.833333333333336
692,26,Feb,2014,4,Powder,-15,56
693,25,Feb,2014,3,Powder,-15,52.333333333333336
694,25,Feb,2014,4,Powder,-25,48.833333333333336
695,24,Feb,2014,3,Powder,-29,45
696,15,Feb,2014,3,Powder,-18,41
697,25,Jan,2011,4,Powder,-10,68.16666666666667
698,18,Dec,2010,3,Powder,-15,32.833333333333336
699,18,Dec,2010,3,Powder,-13,32.833333333333336
704,16,Dec,2012,5,Powder,-8,68.66666666666667
705,15,Dec,2012,4,Powder,-15,43.333333333333336
706,16,Dec,2012,5,Powder,-12,44.833333333333336
719,7,Feb,2009,5,Powder,-8,44
720,13,Feb,2009,3,Powder,-22,44.583333333333336
721,14,Feb,2009,4,Powder,-22,64.83333333333333
722,26,Feb,2014,4,Powder,-10,59.333333333333336
